"Project","Year","Month","Period","Site","Number Live Spat"
"NRDA_5007",2021,1,12,"Hotel Bar 2",1071
"NRDA_5007",2021,4,13,"8 Mile",68
"NRDA_5007",2021,4,13,"9 Mile B",0
"NRDA_5007",2021,4,13,"Cat Point",1159
"NRDA_5007",2021,4,13,"East Hole 2",612
"NRDA_5007",2021,4,13,"King 9 Mile",39
"NRDA_5007",2021,6,13,"Cat Point Spur",912
"NRDA_5007",2021,6,13,"East Hole 1",871
"NRDA_5007",2021,6,13,"Monkeys Elbow",128
"NRDA_5007",2021,6,13,"Peanut Ridge",563
"NRDA_5007",2021,6,13,"South Bulkhead",114
